Trainer 736,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,VENUSAUR,BELLOSSOM,AMOONGUSS,LILLIGANT,SHIINOTIC,NONE
Level,64,64,64,64,64,
Ability,OVERGROW,CHLOROPHYLL,EFFECT_SPORE,CHLOROPHYLL,ILLUMINATE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,PETAL_DANCE,PETAL_DANCE,GIGA_DRAIN,PETAL_DANCE,GIGA_DRAIN,
Move 2,LEECH_SEED,MOONBLAST,SYNTHESIS,QUIVER_DANCE,DREAM_EATER,
Move 3,PETAL_BLIZZARD,QUIVER_DANCE,FEINT_ATTACK,ENERGY_BALL,INGRAIN,
Move 4,SEED_BOMB,SUNNY_DAY,CLEAR_SMOG,SUNNY_DAY,MOONBLAST,
Optional Move 1,TACKLE,PETAL_BLIZZARD,ABSORB,ABSORB,ABSORB,
Optional Move 2,GROWL,MAGICAL_LEAF,ASTONISH,AFTER_YOU,ASTONISH,
Optional Move 3,VINE_WHIP,MEGA_DRAIN,GROWTH,CHARM,CONFUSE_RAY,
Optional Move 4,GROWTH,POISON_POWDER,STUN_SPORE,ENTRAINMENT,FLASH,
Optional Move 5,POISON_POWDER,STUN_SPORE,BIDE,GIGA_DRAIN,MEGA_DRAIN,
Optional Move 6,SLEEP_POWDER,SLEEP_POWDER,MEGA_DRAIN,GROWTH,MOONLIGHT,
Optional Move 7,RAZOR_LEAF,GIGA_DRAIN,SWEET_SCENT,HELPING_HAND,SLEEP_POWDER,
Optional Move 8,TAKE_DOWN,TOXIC,INGRAIN,LEAF_STORM,STRENGTH_SAP,
Optional Move 9,SWEET_SCENT,GRASSY_TERRAIN,TOXIC,LEECH_SEED,DAZZLING_GLEAM,
Optional Move 10,SYNTHESIS,MOONLIGHT,RAGE_POWDER,MEGA_DRAIN,SPORE,
Optional Move 11,WORRY_SEED,ABSORB,SOLAR_BEAM,PETAL_BLIZZARD,SPOTLIGHT,
Optional Move 12,DOUBLE_EDGE,GROWTH,SPORE,SLEEP_POWDER,TOXIC,
Optional Move 13,SOLAR_BEAM,ACID,BULLET_SEED,STUN_SPORE,HIDDEN_POWER,
Optional Move 14,ROAR,SWEET_SCENT,HIDDEN_POWER,SYNTHESIS,SUNNY_DAY,
Optional Move 15,TOXIC,LEAF_STORM,SUNNY_DAY,TEETER_DANCE,HYPER_BEAM,
Optional Move 16,BULLET_SEED,LEAF_BLADE,HYPER_BEAM,MAGICAL_LEAF,LIGHT_SCREEN,
Optional Move 17,HIDDEN_POWER,BULLET_SEED,PROTECT,TOXIC,PROTECT,
Optional Move 18,SUNNY_DAY,HIDDEN_POWER,RAIN_DANCE,BULLET_SEED,RAIN_DANCE,
Optional Move 19,HYPER_BEAM,HYPER_BEAM,FRUSTRATION,HIDDEN_POWER,SAFEGUARD,
Optional Move 20,LIGHT_SCREEN,PROTECT,RETURN,HYPER_BEAM,FRUSTRATION,
Optional Move 21,PROTECT,SAFEGUARD,DOUBLE_TEAM,LIGHT_SCREEN,SOLAR_BEAM,
Optional Move 22,GIGA_DRAIN,FRUSTRATION,SLUDGE_BOMB,PROTECT,RETURN,
Optional Move 23,SAFEGUARD,SOLAR_BEAM,FACADE,SAFEGUARD,DOUBLE_TEAM,
Optional Move 24,FRUSTRATION,RETURN,SECRET_POWER,FRUSTRATION,FACADE,
Optional Move 25,EARTHQUAKE,DOUBLE_TEAM,REST,SOLAR_BEAM,SECRET_POWER,
Optional Move 26,RETURN,SLUDGE_BOMB,ATTRACT,RETURN,REST,
Optional Move 27,DOUBLE_TEAM,FACADE,ENERGY_BALL,DOUBLE_TEAM,ATTRACT,
Optional Move 28,SLUDGE_BOMB,SECRET_POWER,ENDURE,FACADE,ENERGY_BALL,
Optional Move 29,FACADE,REST,PAYBACK,SECRET_POWER,CHARGE_BEAM,
Optional Move 30,SECRET_POWER,ATTRACT,GIGA_IMPACT,REST,ENDURE,
Optional Move 31,REST,ENERGY_BALL,FLASH,ATTRACT,DRAIN_PUNCH,
Optional Move 32,ATTRACT,FLING,SLEEP_TALK,ENDURE,RECYCLE,
Optional Move 33,ENERGY_BALL,ENDURE,GRASS_KNOT,GIGA_IMPACT,GIGA_IMPACT,
Optional Move 34,FALSE_SWIPE,DRAIN_PUNCH,SWAGGER,FLASH,THUNDER_WAVE,
Optional Move 35,ENDURE,GIGA_IMPACT,SUBSTITUTE,SWORDS_DANCE,SLEEP_TALK,
Optional Move 36,GIGA_IMPACT,FLASH,,PSYCH_UP,GRASS_KNOT,
Optional Move 37,FLASH,SWORDS_DANCE,,SLEEP_TALK,SWAGGER,
Optional Move 38,SWORDS_DANCE,CAPTIVATE,,NATURAL_GIFT,SUBSTITUTE,
Optional Move 39,CAPTIVATE,SLEEP_TALK,,DREAM_EATER,,
Optional Move 40,SLEEP_TALK,NATURAL_GIFT,,GRASS_KNOT,,
Optional Move 41,NATURAL_GIFT,GRASS_KNOT,,SWAGGER,,
Optional Move 42,POISON_JAB,SWAGGER,,SUBSTITUTE,,
Optional Move 43,GRASS_KNOT,SUBSTITUTE,,,,
Optional Move 44,SWAGGER,,,,,
Optional Move 45,SUBSTITUTE,,,,,
